"80","Ross Stores","US","Apparel/Footwear Specialty","1"
"91","S Group","Finland","Supermarket","5"
"88","S.A.C.I. Falabella","Chile","Department Store","6"
"240","Savola Group/Panda Retail Company","Saudi Arabia","Hypermarket/Supercenter/Superstore","2"
"4","Schwarz Unternehmenstreuhand KG","Germany","Discount Store","26"
"39","Sears Holdings Corporation","US","Department Store","2"
"20","Seven & i Holdings Co.","Japan","Convenience/Forecourt Store","19"
"121","Shanghai Bailian Group Co.","China","Hypermarket/Supercenter/ Superstore","1"
"196","Shimamura Co.","Japan","Apparel/Footwear Specialty","3"
"110","Shoprite Holdings Ltd.","S. Africa","Supermarket","15"
"207","SHV Holdings N.V. / Makro","Netherlands","Cash & Carry/Warehouse Club","5"
"144","Signet Jewelers Limited","Bermuda","Other Specialty","5"
"191","SM Investments Corporation","Philippines","Hypermarket/Supercenter/Superstore","1"
"222","Smart & Final Stores","US","Cash & Carry/Warehouse Club","2"
"246","SMU S.A.","Chile","Supermarket","2"
"175","Sonae  SGPS  SA","Portugal","Supermarket","21"
"84","Southeastern Grocers  LLC","US","Supermarket","1"
"95","Spar Holding AG","Austria","Supermarket","8"
"221","Sports Direct International plc","UK","Other Specialty","24"
"242","Sprouts Farmers Market","US","Supermarket","1"
"89","Staples","US","Other Specialty","13"
"209","Stater Bros. Holdings Inc.","US","Supermarket","1"
"72","Steinhoff International Holdings N.V.","S. Africa","Other Specialty","29"
"210","Sundrug Co.","Japan","Drug Store/Pharmacy","1"
"46","Suning Commerce Group Co.","China","Electronics Specialty","2"
"103","SuperValu Inc.","US","Supermarket","1"
"49","Systeme U  Centrale Nationale","France","Supermarket","4"
"136","Takashimaya Company","Japan","Department Store","4"
"11","Target Corporation","US","Discount Department Store","1"
"109","Tengelmann Warenhandelsgesellschaft KG","Germany","Home Improvement","13"
"9","Tesco PLC","UK","Hypermarket/Supercenter/Superstore","10"
"60","The Gap","US","Apparel/Footwear Specialty","56"
"6","The Home Depot","US","Home Improvement","4"
"27","The IKEA Group (INGKA Holding B.V.)","Netherlands","Other Specialty","28"
"3","The Kroger Co.","US","Supermarket","1"
"187","The Michaels Companies","US","Other Specialty","2"
"206","The Save Mart Companies (formerly Save Mart Supermarkets)","US","Supermarket","1"
"133","The Sherwin-Williams Company / Paint Stores Group","US","Home Improvement","9"
"155","The SPAR Group Limited","S. Africa","Supermarket","10"
"31","The TJX Companies","US","Apparel/Footwear Specialty","10"
"226","Tiffany & Co.","US","Other Specialty","28"
"237","Tokyu Corporation","Japan","Department Store","5"
"82","Toys ""R"" Us","US","Other Specialty","40"
"151","Tractor Supply Company","US","Other Specialty","1"
"199","Tsuruha Holdings Inc.","Japan","Drug Store/Pharmacy","2"
"234","Ulta Salon  Cosmetics & Fragrance","US","Other Specialty","1"
"116","UNY Group Holdings Co.","Japan","Hypermarket/Supercenter/Superstore","3"
"223","Valor Holdings Co.","Japan","Supermarket","2"
"157","Vipshop Holdings Limited","China","Non-store","1"
"1","Wal-Mart Stores","US","Hypermarket/Supercenter/Superstore","30"
"5","Walgreens Boots Alliance (formerly Walgreen Co.)","US","Drug Store/Pharmacy","10"
"119","Wegmans Food Markets","US","Supermarket","1"
"21","Wesfarmers Limited","Australia","Supermarket","3"
"63","Whole Foods Market","US","Supermarket","3"
"185","Williams-Sonoma","US","Non-Store","12"
"154","WinCo Foods LLC","US","Supermarket","1"
"40","Wm Morrison Supermarkets PLC","UK","Supermarket","1"
"197","Woolworths Holdings Limited","S. Africa","Department Store","14"
"24","Woolworths Limited","Australia","Supermarket","3"
"71","X5 Retail Group N.V.","Russia","Discount Store","1"
"204","XXXLutz Group","Austria","Other Specialty","9"
"70","Yamada Denki Co.","Japan","Electronics Specialty","7"
"162","Yodobashi Camera Co.","Japan","Electronics Specialty","1"
"146","Yonghui Superstores Co.","China","Hypermarket/Supercenter/Superstore","1"
